Card,Card type,Video,Video id,Card teaser clicks,Card teaser click rate,Card clicks,Card click rate,Card impressions,Card teaser impressions
Privacy,PLAYLIST_CARD,Linux - USB-Sticks als Bootmedium vorbereiten,AcmlAMFIl_8,6,10.91,0,0.00,1,55
photorec und recoverjpeg - gelöschte Dateien wiederherstellen,VIDEO_CARD,Linux - gelöschte Dateien wiederherstellen,9DoDY09AAdg,4,2.50,0,0.00,7,160
SD-Karte des Raspberry Pi mit dd sichern,VIDEO_CARD,Raspberry Pi - SD-Karte mit gnome-disks sichern,IO25A5YopvE,0,0.00,0,0.00,1,19
R - einfache Datentypen,VIDEO_CARD,R - RStudio installieren und starten,vCuMhy_Qb-w,0,0.00,0,0.00,0,46
docker,PLAYLIST_CARD,docker - Images auflisten,sWAtigw5HSE,0,0.00,0,0.00,0,12
HTML und CSS - Grundgerüst einer HTML-Seite,VIDEO_CARD,HTML und CSS - HTML-Elemente,1rjhqpDHGCM,0,0.00,0,0.00,1,5
Git für Einsteiger - Branches anlegen,VIDEO_CARD,Git für Einsteiger - Allgemeines zum Branching,rvBXmjXqpN8,0,0.00,0,0.00,0,5
Daten und Visualisierung,PLAYLIST_CARD,OpenLayers 3 - eine Karte auf eine Webseite setzen,3xiI_v9TopE,1,1.45,0,0.00,1,69
LibreOffice,PLAYLIST_CARD,"LibreOffice - Calc - Filtern, welche Zellen sichtbar sind",Dre0GPY_E88,0,0.00,0,0.00,0,25
HTML und CSS - Die notwendigen Tools,VIDEO_CARD,HTML und CSS - Ein HTML-Dokument erstellen,vA3ATuPb_4s,0,0.00,0,0.00,0,44
HTML und CSS - HTML-Elemente,VIDEO_CARD,HTML und CSS - Grundgerüst einer HTML-Seite,TbfOV-bBQIc,0,0.00,0,0.00,0,36
LibreOffice,PLAYLIST_CARD,LibreOffice - Calc - Sortieren von Zellen,b78o2PkBjus,0,0.00,0,0.00,0,9
R - RStudio installieren und starten,VIDEO_CARD,R - Zeichenketten,53Q4s6MLCfM,0,0.00,0,0.00,0,9
HTML und CSS - HTML-Elemente,VIDEO_CARD,HTML und CSS - Ein HTML-Dokument erstellen,vA3ATuPb_4s,0,0.00,0,0.00,0,11
LibreOffice,PLAYLIST_CARD,LibreOffice - Calc - Ausblenden und Anzeigen von Daten,MZF7uWcwqv0,0,0.00,0,0.00,0,8
R - Zeichenketten,VIDEO_CARD,R - RStudio installieren und starten,vCuMhy_Qb-w,0,0.00,0,0.00,0,1
Git für Einsteiger - Allgemeines zum Branching,VIDEO_CARD,Git für Einsteiger - Branches anlegen,_g8ItehO7gA,0,0.00,0,0.00,0,31
Git für Einsteiger - Branches anlegen - Teil 2,VIDEO_CARD,Git für Einsteiger - Branches anlegen,_g8ItehO7gA,0,0.00,0,0.00,0,8
Privacy,PLAYLIST_CARD,Live-DVDs mit Anonymisierungsdiensten,8N1cOrfTRec,0,0.00,0,0.00,0,20
Javascript - Hallo Welt,VIDEO_CARD,Javascript - Zahlen,WJvlUMvNiUo,0,0.00,0,0.00,1,21
HTML und CSS - Webseite veröffentlichen (Hosting),VIDEO_CARD,HTML und CSS - Eine CSS-Datei einbinden,4wUssMxrjss,0,0.00,0,0.00,0,25
LibreOffice,PLAYLIST_CARD,LibreOffice - Calc - Gruppen und Gliederung,l3IoSinZ61k,0,0.00,0,0.00,0,27
Raspberry Pi,PLAYLIST_CARD,Raspberry Pi - SD-Karte mit gnome-disks sichern,IO25A5YopvE,0,0.00,0,0.00,1,11
Linux,PLAYLIST_CARD,Linux - cut (schneiden),Fjtw5QjQwxE,0,0.00,0,0.00,0,22
Web,PLAYLIST_CARD,Linktipp - Lerne X in Y Minuten,912UNZmcRWs,0,0.00,0,0.00,0,31
